Name,Partner,Opponent 1,Opponent 2,Round,Score: Hand 1,Called: Hand 1,Score: Hand 2,Called: Hand 2,Score: Hand 3,Called: Hand 3,Score: Hand 4,Called: Hand 4,Score: Hand 5,Called: Hand 5,Score: Hand 6,Called: Hand 6,Score: Hand 7,Called: Hand 7,Score: Hand 8,Called: Hand 8,Score: Hand 9,Called: Hand 9,Score: Hand 10,Called: Hand 10,Score: Hand 11,Called: Hand 11,Score: Hand 12,Called: Hand 12,Total,Successful Loners,Total Called,Loners Called,Times Euchred,(optional >>),Team Euchres,Team Euchred,Team Two-Fors,Man Hands Played
Guy,Jeff,Morgan,Kev,1,0,,0,,0,,0,,2,,0,,1,v,0,,0,,0,,1,,1,v,5,0,2,0,0,,1,0,0,
Morgan,Kev,Guy,Jeff,1,1,v,4,,4,x,1,,0,v,1,,0,,1,,1,,1,v,0,,0,,14,1,4,1,1,,0,1,0,
Kev,Morgan,Jeff,Guy,1,1,,4,x,4,,1,v,0,,1,v,0,,1,v,1,v,1,,0,,0,,14,1,5,1,0,,0,1,0,
Natalie,Guo,Amaan,Jim,1,0,v,0,,0,,1,,2,v,2,,0,,2,,2,v,1,,1,,0,,11,0,3,0,1,,1,1,3,
Guo,Natalie,Jim,Amaan,1,0,,0,,0,,1,v,2,,2,v,0,,2,,2,,1,v,1,v,0,,11,0,4,0,0,,1,1,3,
Jim,Amaan,Natalie,Guo,1,2,,2,,1,v,0,,0,,0,,1,,0,,0,,0,,0,,1,,7,0,1,0,0,,1,1,1,
Amaan,Jim,Guo ,Natalie,1,2,,2,v,1,,0,,0,,0,,1,v,0,v,0,,0,,0,,1,v,7,0,4,0,1,,1,1,1,
Laura,MC,Manny,MO,1,0,,1,,2,,1,x,0,,1,,1,v,1,v,1,v,2,,1,v,1,v,12,0,6,1,0,,2,0,0,
MC,Laura,MO,Manny,1,0,,1,v,2,,1,,0,,1,x,1,,1,,1,,2,,1,,1,,12,0,2,1,0,,2,0,0,
Manny,MO,Laura,MC,1,2,v,0,,0,x,0,,1,v,0,,0,,0,,0,,0,,0,,0,,3,0,3,1,1,,0,2,1,
MO,Manny,MC,Laura,1,2,,0,,0,,0,,1,,0,,0,,0,,0,,0,x,0,,0,,3,0,1,1,1,,0,2,1,
Dre,Guy,Pat,Jeff,2,0,,2,,0,,0,,1,,0,v,1,,4,,0,,2,,1,v,0,,11,0,2,0,1,,2,3,0,
Guy,Dre,Jeff,Pat,2,0,,2,,0,,0,v,1,v,0,,1,v,4,x,0,,2,,1,,0,v,11,1,5,1,2,,2,3,0,
Pat,Jeff,Guy,Dre,2,1,v,0,v,1,,2,,0,,2,,0,,0,,1,v,0,,0,,2,,9,0,3,0,1,,3,2,0,
Jeff,Pat,Dre,Guy,2,1,,0,,1,v,2,,0,,2,,0,,0,,1,,0,v,0,,2,,9,0,2,0,1,,3,2,0,
Jim,Allie,Amaan,Kotwa,2,0,,0,,2,,1,,0,,1,,0,,1,v,2,,0,,0,,1,x,8,0,2,1,0,,1,0,1,
Allie ,Jim,Kotwa,Amaan,2,0,,0,,2,v,1,x,0,,1,x,0,,1,,2,,0,,0,,1,,8,0,3,2,0,,1,0,1,
Amaan,Kotwa,Allie,Jim,2,1,x,1,,0,,0,,4,x,0,,1,v,0,,0,,4,x,1,,0,,12,2,4,3,0,,0,1,0,
Kotwa,Amaan,Jim,Allie,2,1,,1,v,0,,0,,4,,0,,1,,0,,0,v,4,,1,v,0,,12,0,3,0,1,,0,1,0,
Ellen,Morgan,Rae,Kev,2,0,,0,,0,,4,x,0,,0,v,1,,0,,1,v,0,,0,,2,,8,1,3,1,1,,1,2,0,
Morgan,Ellen,Kev,Rae,2,0,,0,v,0,,4,,0,,0,,1,x,0,,1,,0,,0,,2,,8,0,2,1,1,,1,2,0,
Rae,Kev,Ellen,Morgan,2,4,x,0, ,0,x,0,,0,,2,,1,v,2,,0,,2,v,1,,0,v,12,1,5,2,1,,2,1,2,
Kev,Rae,Morgan,Ellen,2,1,,2,,1,,0,,1,x,2,,0,,2,v,0,,2,,1,v,0,,12,0,3,1,0,,2,1,2,
Alannah,Guo,Natalie,Rumi,2,2,,0,v,1,v,0,,2,v,1,,4,x,1,v,0,,2,,1,,0,,14,1,5,1,1,,0,1,3,
Guo,Alannah,Rumi,Natalie,2,2,v,0,,1,,0,,2,,1,v,4,,1,,0,,2,v,1,v,0,,14,0,4,0,0,,0,1,3,
Natalie,Rumi,Alannah,Guo ,2,0,,2,,0,,1,v,0,,0,,0,,0,,1,v,0,,0,,2,v,6,0,3,0,0,,1,0,1,
Rumi,Natalie,Guo ,Alannah,2,0,,2,,0,,1,,0,,0,,0,,0,,1,,0,,0,,2,,6,0,0,0,0,,1,0,1,
Joel ,MO,Manny,Julie,2,0,,0,,0,,0,,1,,1,v,1,,4,x,1,,0,,2,v,0,,10,1,3,1,0,,0,1,1,
MO,Joel,Julie,Manny,2,0,,0,,0,,0,,1,v,1,,1,v,4,,1,v,0,v,2,,0,,10,0,4,0,1,,0,1,1,
Manny,Julie,Joel,MO,2,1,v,1,v,1,,1,,0,,0,,0,,0,,0,,2,,0,,1,,7,0,2,0,0,,1,0,0,
Julie,Manny,MO,Joel,2,1,,1,,1,v,1,v,0,,0,,0,,0,,0,,2,,0,,1,v,7,0,3,0,0,,1,0,0,
Toly,MC,Shan,Laura,2,0,v,1,,0,,1,,0,,1,,1,v,1,v,0,,4,,0,,0,,9,0,3,0,1,,0,2,0,
MC,Toly,Laura,Shan,2,0,,1,v,0,,1,x,0,,1,v,1,,1,,0,v,4,x,0,,0,,9,1,5,2,1,,0,2,0,
Laura,Shan,Toly,MC,2,2,,0,,2,,0,,4,x,0,,0,,0,,2,,0,,1,,1,v,12,1,2,1,0,,2,0,1,
Shan,Laura,MC,Toly,2,2,,0,,2,v,0,,4,,0,,0,,0,,2,,0,,1,v,1,,12,0,2,0,0,,2,0,1,
Rumi,Amaan,Kotwa,Natalie,3,0,,0,v,2,,0,,4,x,0,,4,x,0,,1,v,1,v,0,,1,,13,2,5,2,1,,1,1,0,
Amaan,Rumi,Natalie,Kotwa,3,0,,0,,2,,0,,4,,0,,4,,0,,1,,1,,0,,1,v,13,0,1,0,0,,1,1,0,
Kotwa,Natalie,Rumi,Amaan,3,1,v,2,,0,v,1,v,0,,1,v,0,,2,v,0,,0,,1,v,0,,8,0,6,0,1,,1,1,1,
Natalie,Kotwa,Amaan,Rumi,3,1,,2,,0,,1,,0,,1,,0,,2,,0,,0,,1,,0,,8,0,0,0,0,,1,1,1,
Allie ,Kev,Rae,Jim,3,0,,1,,4,x,0,,0,,1,x,0,,1,,0,,4,x,0,,0,v,11,2,4,3,1,,0,2,0,
Kev,Allie,Jim,Rae,3,0,,1,x,4,,0,,0,,1,,0,v,1,v,0,,4,,0,,0,,11,0,3,1,1,,0,2,0,
Rae,Jim,Allie,Kev,3,1,v,0,,0,,1,,1,x,0,,2,,0,,4,x,0,,1,v,2,,12,1,4,2,0,,2,0,0,
Jim ,Rae,Kev,Allie,3,1,,0,,0,,1,v,1,,0,,2,,0,,4,,0,,1,,2,,12,0,1,0,0,,2,0,0,
Morgan,Dre,Ellen,Guy,3,0,v,0,,0,,1,,1,,2,,1,v,0,v,1,v,0,,0,,1,,7,0,4,0,2,,0,2,0,
Dre,Morgan,Guy,Ellen,3,0,,0,,0,,1,v,1,v,2,,1,,0,,1,,0,,0,,1,v,7,0,3,0,0,,0,2,0,
Ellen,Guy,Morgan,Dre,3,2,,1,,1,x,0,,0,,0,,0,,2,,0,,1,,1,,0,,8,0,1,1,0,,2,0,0,
Guy,Ellen,Dre,Morgan,3,2,,1,v,1,,0,,0,,0,,0,,2,,0,,1,v,1,v,0,,8,0,3,0,0,,2,0,0,
Shan,Pat,Jeff,Laura,3,2,,0,,0,,0,,2,,1,,0,,0,,0,,0,,1,v,0,,6,0,1,0,0,,1,0,1,
Pat,Shan,Laura,Pat,3,2,v,0,,0,,0,,2,,1,v,0,,0,,0,,0,,1,,0,,6,0,2,0,0,,1,0,1,
Jeff,Laura,Pat,Shan,3,0,,1,,1,,1,v,0,v,0,,2,,1,,2,v,1,,0,,1,v,10,0,4,0,1,,0,1,2,
Laura,Jeff,Shan,Pat,3,0,,1,v,1,x,1,,0,,0,,2,v,1,x,2,,1,v,0,,1,,10,0,5,2,0,,0,1,2,
MC,Joel,Toly,MO,3,0,,2,,2,v,2,,4,,2,v,1,x,0,,1,x,0,,1,x,0,,15,0,5,3,0,,2,0,2,
Joel,MC,MO,Toly,3,0,,2,,2,,2,,4,x,2,,1,,0,,1,,0,,1,,0,,15,1,1,1,0,,2,0,2,
MO,Toly,MC,Joel,3,4,x,0,,0,,0,v,0,,0,,0,,1,,0,,1,,0,,1,,7,1,2,1,1,,0,2,0,
Toly,MO,Joel,MC,3,4,,0,v,0,,0,,0,,0,,0,,1,v,0,,1,v,0,,1,v,7,0,4,0,1,,0,2,0,
Julie,Guo,Manny,Alannah,3,1,,0,,1,v,0,,1,v,0,,0,,0,,1,,1,,0,,4,x,9,1,3,1,0,,0,0,0,
Guo,Julie,Alannah,Manny,3,1,v,0,,1,,0,,1,,0,,0,,0,,1,v,1,v,0,,4,,9,0,3,0,0,,0,0,0,
Manny,Alannah,Julie,Guo,3,0,,1,v,0,,1,x,0,,2,,1,,2,v,0,,0,,1,,0,,8,0,3,1,0,,0,0,2,
Alannah,Manny,Guo,Julie,3,0,,1,,0,,1,,0,,2,v,1,v,2,,0,,0,,1,x,0,,8,0,3,1,0,,0,0,2,
Allie ,Guy,Kev,Ellen,4,0,,2,,0,,1,v,1,v,2,,1,,1,,0,,0,,1,x,0,,9,0,3,1,0,,2,3,0,
Guy,Allie,Ellen,Kev,4,0,,2,,0,v,1,,1,,2,,1,v,1,x,0,v,0,,1,,0,v,9,0,5,1,3,,2,3,0,
Kev,Ellen,Allie,Guy,4,1,v,0,v,2,,0,,0,,0,v,0,,0,,2,,1,v,0,,2,,8,0,4,0,2,,3,2,0,
Ellen,Kev,Guy,Allie,4,1,,0,,2,,0,,0,,0,,0,,0,,2,,1,,0,,2,,8,0,0,0,0,,3,2,0,
Laura,Dre,Jeff,Morgan,4,0,,2,v,1,,4,,0,,1,,0,,1,v,0,,1,v,0,,1,,11,0,3,0,0,,0,0,1,
Dre,Laura,Morgan,Jeff,4,0,,2,,1,v,4,x,0,,1,x,0,,1,,0,,1,,0,,1,v,11,1,4,2,0,,0,0,1,
Jeff,Morgan,Laura,Dre,4,2,,0,,0,,0,,1,,0,,1,v,0,,1,,0,,1,v,0,,6,0,2,0,0,,0,0,1,
Morgan,Jeff,Dre,Laura,4,2,v,0,,0,,0,,1,v,0,,1,,0,,1,v,0,,1,,0,,6,0,3,0,0,,0,0,1,
Joel,Shan,Pat,MC,4,0,,1,v,0,,2,,0,,0,,0,,1,,1,v,1,x,2,,0,,8,0,3,1,0,,1,0,1,
Shan,Joel,MC,Pat,4,0,,1,,0,,2,v,0,,0,,0,,1,x,1,,1,,2,,0,,8,0,2,1,0,,1,0,1,
Pat,MC,Joel,Shan,4,1,v,0,,1,,0,,1,v,1,v,1,,0,,0,,0,,0,,1,,6,0,3,0,0,,0,1,0,
MC,Pat,Shan,Joel,4,1,,0,,1,v,0,,1,,1,,1,v,0,,0,,0,,0,v,1,v,6,0,4,0,1,,0,1,0,
Julie,MO,Guo,Toly,4,0,,1,v,1,,1,v,1,,1,,0,,1,x,4,x,0,v,0,,1,,11,1,5,2,1,,0,1,0,
MO,Julie,Toly,Guo,4,0,,1,,1,v,1,,1,v,1,x,0,,1,,4,,0,,0,,1,v,11,0,4,1,0,,0,1,0,
Guo,Toly,Julie,MO,4,1,,0,,0,,0,,0,,0,,1,x,0,,0,,2,,1,v,0,,5,0,2,1,0,,1,0,0,
Toly,Guo,MO,Julie,4,1,v,0,,0,,0,,0,,0,,1,,0,,0,,2,,1,,0,,5,0,1,0,0,,1,0,0,
Rumi,Alannah,Amaan,Manny,4,4,x,2,,1,,0,,1,,0,,0,,2,,1,,1,,2,v,1,,15,1,2,1,0,,2,0,1,
Alannah,Rumi,Manny,Amaan,4,4,,2,,1,v,0,,1,v,0,,0,,2,,1,v,1,v,2,,1,v,15,0,5,0,0,,2,0,1,
Manny,Amaan,Rumi,Alannah,4,0,,0,,0,,1,,0,,2,v,2,,0,,0,,0,,0,,0,,5,0,1,0,0,,0,2,2,
Amaan,Manny,Alannah,Rumi,4,0,,0,x,0,,1,v,0,,2,,2,v,0,v,0,,0,,0,,0,,5,0,4,1,2,,0,2,2,
Rae,Natalie,Kotwa,Jim,4,0,,1,v,1,v,0,,0,,0,,0,v,0,,0,,1,v,1,v,1,v,5,0,6,0,1,,0,3,0,
Natalie,Rae,Jim,Kotwa,4,0,v,1,,1,,0,,0,v,0,,0,,0,,0,,1,,1,,1,,5,0,2,0,2,,0,3,0,
Kotwa,Jim,Rae,Nat,4,2,,0,,0,,1,,2,,1,,2,,2,,1,v,0,,0,,0,,11,0,1,0,0,,3,0,1,
Jim,Kotwa,Nat,Rae,4,2,,0,,0,,1,v,2,,1,v,2,,2,v,1,,0,,0,,0,,11,0,3,0,0,,3,0,1,
Guy,Rae,Natalie,Allie,5,1,,1,,0,,1,v,0,,1,x,0,v,4,,1,,0,,0,,1,v,10,0,4,1,1,,0,1,0,
Rae,Guy,Allie,Natalie,5,1,v,1,v,0,,1,,0,,1,,0,,4,x,1,v,0,,0,,1,,10,1,4,1,0,,0,1,0,
Allie ,Natalie,Guy,Rae,5,0,,0,,2,,0,,1,,0,,2,,0,,0,,1,v,1,,0,,7,0,1,0,0,,1,0,1,
Natalie,Allie,Rae,Guy,5,0,,0,,2,v,0,,1,v,0,,2,,0,,0,,1,,1,x,0,,7,0,3,1,0,,1,0,1,
Kev,Laura,Ellen,Dre,5,0,,1,,0,,1,,0,,0,,1,x,0,,1,x,0,,2,,1,x,7,0,3,3,0,,1,0,0,
Laura,Kev,Dre,Ellen,5,0,,1,v,0,,1,x,0,,0,,1,,0,,1,,0,,2,,1,,7,0,2,1,0,,1,0,0,
Dre,Ellen,Kev,Laura,5,1,v,0,,1,v,0,,1,,2,v,0,,1,,0,,1,,0,v,0,,7,0,4,0,1,,0,1,1,
Ellen,Dre,Laura,Kev,5,1,,0,,1,,0,,1,v,2,,0,,1,v,0,,1,x,0,,0,,7,0,3,1,0,,0,1,1,
Morgan,Shan,Joel,Jeff,5,0,,0,,2,,0,,2,,1,v,0,,1,,0,,2,,0,,1,,9,0,1,0,0,,2,0,1,
Shan,Morgan,Jeff,Joel,5,0,,0,,2,v,0,,2,,1,,0,,1,v,0,,2,,0,,1,v,9,0,3,0,0,,2,0,1,
Joel,Jeff,Morgan,Shan,5,1,,1,x,0,,1,x,0,,0,,1,v,0,,1,v,0,x,1,,0,,6,0,5,3,1,,0,2,0,
Jeff,Joel,Shan,Morgan,5,1,v,1,,0,,1,,0,v,0,,1,,0,,1,,0,,1,x,0,,6,0,3,1,1,,0,2,0,
Pat,MO,MC,Julie,5,0,,2,,0,,1,,0,,0,,0,,0,,0,,1,v,2,v,1,,7,0,2,0,0,,1,0,1,
MO,Pat,Julie,MC,5,0,,2,,0,,1,x,0,,0,,0,,0,,0,,1,,2,,1,v,7,0,2,1,0,,1,0,1,
MC,Julie,Pat,MO,5,1,v,0,v,1,v,0,,4,,2,,1,x,1,v,1,,0,,0,,0,,11,0,5,1,1,,0,1,1,
Julie,MC,MO,Pat,5,1,,0,,1,,0,,4,x,2,v,1,,1,,1,v,0,,0,,0,,11,1,3,1,0,,0,1,1,
Guo ,Alannah,Toly,Rumi,5,0,,1,v,0,,0,v,2,,0,,0,,4,,0,,1,v,0,,0,,8,0,3,0,1,,1,1,0,
Alannah,Guo,Rumi,Toly,5,0,,1,,0,,0,,2,,0,,0,,4,x,0,,1,,0,,0,,8,1,1,1,0,,1,1,0,
Rumi,Toly,Guo,Alannah,5,1,x,0,,1,x,2,,0,v,2,,4,x,0,,2,v,0,,2,,1,,15,1,5,3,1,,1,1,3,
Toly,Rumi,Alannah,Guo,5,1,,0,,1,,2,,0,,2,v,4,,0,,2,,0,,2,v,1,v,15,0,3,0,0,,1,1,3,
Manny,Jim,Kotwa,Amaan,5,1,v,0,,2,v,0,,0,,0,x,0,,0,,2,,0,,0,,2,v,7,0,4,1,1,,0,2,3,
Jim,Manny,Amaan,Kotwa,5,1,,0,,2,,0,,0,,0,,0,,0,,2,v,0,v,0,,2,,7,0,2,0,1,,0,2,3,
Kotwa,Amaan,Manny,Jim,5,0,,1,v,0,,2,,2,,2,,1,v,1,v,0,,2,,1,v,0,,12,0,4,0,0,,2,0,2,
Amaan,Kotwa,Jim,Manny,5,0,,1,,0,,2,v,2,v,2,,1,,1,,0,,2,,1,,0,,12,0,2,0,0,,2,0,2,
Rae,Manny,Guy,Jim,6,1,v,4,x,0,,2,,1,,0,,0,,0,,2,v,1,,1,v,1,v,13,1,5,1,0,,1,0,1,
Manny,Rae,Jim,Guy,6,1,,4,,0,,2,,1,x,0,,0,,0,,2,,1,v,1,,1,,13,0,2,1,0,,1,0,1,
Jim,Guy,Manny,Rae,6,0,,0,,1,v,0,v,0,,1,,1,v,1,v,0,,0,,0,,0,,4,0,4,0,1,,0,1,0,
Guy,Jim,Rae,Manny,6,0,,0,,1,,0,,0,,1,v,1,,1,,0,,0,,0,,0,,4,0,1,0,0,,0,1,0,
Allie ,Dre,Ellen,Natalie,6,1,,0,,1,,1,v,1,,0,,4,,1,v,0,,2,,1,x,0,,12,0,3,1,0,,1,0,0,
Dre,Allie,Natalie,Ellen,6,1,v,0,,1,x,1,,1,x,0,,4,x,1,,0,,2,,1,,0,,12,1,4,3,0,,1,0,0,
Ellen,Natalie,Allie,Dre,6,0,,1,x,0,,0,,0,,1,x,0,,0,,1,v,0,,0,,1,v,4,0,4,2,0,,0,1,0,
Natalie,Elllen,Dre,Allie,6,0,,1,,0,,0,,0,,1,,0,,0,,1,,0,x,0,,1,,4,0,1,1,1,,0,1,0,
Morgan,Laura,Kev,Shan,6,0,,0,,4,x,2,,1,,1,v,1,v,0,,0,,0,,2,v,0,,11,1,4,1,0,,1,1,1,
Laura,Morgan,Shan,Kev,6,0,v,0,,4,,2,,1,v,1,,1,,0,,0,,0,,2,,0,,11,0,2,0,1,,1,1,1,
Shan,Kev,Laura,Morgan,6,2,,1,,0,,0,v,0,,0,,0,,1,v,1,,1,,0,,1,v,7,0,3,0,1,,1,1,0,
Kev,Shan,Morgan,Laura,6,2,,1,v,0,,0,,0,,0,,0,,1,,1,v,1,v,0,,1,,7,0,3,0,0,,1,1,0,
MC,Jeff,Julie,Joel,6,1,v,0,,0,v,0,,1,,2,,1,,0,v,2,,2,,0,,0,,9,0,3,0,2,,3,2,0,
Jeff,MC,Joel,Julie,6,1,,0,,0,,0,,1,v,2,,1,v,0,,2,,2,,0,,0,,9,0,2,0,0,,3,2,0,
Joel,Julie,Jeff,MC,6,0,,1,v,2,,1,,0,,0,x,0,,2,,0,,0,x,1,,1,x,8,0,4,3,2,,2,3,0,
Julie,Joel,MC,Jeff,6,0,,1,,2,,1,v,0,,0,,0,,2,,0,v,0,,1,v,1,,8,0,3,0,1,,2,3,0,
Rumi,Pat,MO,Toly,6,1,x,1,x,1,v,1,,0,,2,,1,v,1,v,0,,1,,1,,0,,10,0,5,2,0,,0,2,1,
Pat,Rumi,Toly,MO,6,1,,1,,1,,1,v,0,v,2,v,1,,1,,0,,1,v,1,v,0,v,10,0,6,0,2,,0,2,1,
MO,Toly,Rumi,Pat,6,0,,0,,0,,0,,2,,0,,0,,0,,1,v,0,,0,,2,,5,0,1,0,0,,2,0,0,
Toly,MO,Pat,Rumi,6,0,,0,,0,,0,,2,,0,,0,,0,,1,,0,,0,,2,,5,0,0,0,0,,2,0,0,
Kotwa,Alannah,Amaan,Guo,6,0,,4,,1,,1,,0,,2,v,0,v,0,,2,,0,v,0,,1,,11,0,3,0,2,,0,2,2,
Alannah,Kotwa,Guo,Amaan,6,0,,4,x,1,v,1,v,0,,2,,0,,0,,2,v,0,,0,,1,v,11,1,5,1,0,,0,2,2,
Guo,Amaan,Kotwa,Alannah,6,1,v,0,,0,,0,,1,v,0,,2,,1,v,0,,2,,1,v,0,,8,0,4,0,0,,2,0,0,
Amaan,Guo,Alannah,Kotwa,6,1,,0,,0,,0,,1,,0,,2,,1,,0,,2,,1,,0,,8,0,0,0,0,,2,0,0,
